!
!Date: 11/28/2022
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
VMA1	YDL185W	VMA5	YKL080W	Protein-peptide	high-throughput	Hit	No Modification	BioGRID	Parsons LS and Wilkens S (2012) PMID:23071676	
VMA1	YDL185W	VMA5	YKL080W	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Jaskolka MC, et al. (2021) PMID:33895134	
VMA1	YDL185W	VMA6	YLR447C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Keenan Curtis K and Kane PM (2002) PMID:11717306	
VMA1	YDL185W	VMA6	YLR447C	Reconstituted Complex	manually curated	Hit	No Modification	BioGRID	Thaker YR, et al. (2009) PMID:19289121	
VMA1	YDL185W	VMA6	YLR447C	Co-purification	manually curated	Bait	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA1	YDL185W	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
VMA1	YDL185W	VMA7	YGR020C	Co-fractionation	manually curated	Bait	No Modification	BioGRID	Tomashek JJ, et al. (1997) PMID:9334266	
VMA1	YDL185W	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA1	YDL185W	VMA7	YGR020C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA1	YDL185W	VMA7	YGR020C	Co-purification	manually curated	Bait	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA1	YDL185W	VMA8	YEL051W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
VMA1	YDL185W	VMA8	YEL051W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Keenan Curtis K and Kane PM (2002) PMID:11717306	
VMA1	YDL185W	VMA8	YEL051W	Co-fractionation	manually curated	Bait	No Modification	BioGRID	Tomashek JJ, et al. (1996) PMID:8626613	
VMA1	YDL185W	VMA8	YEL051W	Co-fractionation	manually curated	Bait	No Modification	BioGRID	Tomashek JJ, et al. (1997) PMID:9334266	
VMA1	YDL185W	VMA8	YEL051W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA1	YDL185W	VMA8	YEL051W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA1	YDL185W	VMA8	YEL051W	Co-purification	manually curated	Bait	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA1	YDL185W	VMA9	YCL005W-A	Co-purification	manually curated	Bait	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Keenan Curtis K and Kane PM (2002) PMID:11717306	
VMA1	YDL185W	VPH1	YOR270C	Two-hybrid	manually curated	Bait	No Modification	BioGRID	Landolt-Marticorena C, et al. (2000) PMID:10747882	
VMA1	YDL185W	VPH1	YOR270C	Two-hybrid	manually curated	Hit	No Modification	BioGRID	Landolt-Marticorena C, et al. (2000) PMID:10747882	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Landolt-Marticorena C, et al. (2000) PMID:10747882	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Kawasaki-Nishi S, et al. (2001) PMID:11592965	
VMA1	YDL185W	VPH1	YOR270C	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Oluwatosin YE and Kane PM (1998) PMID:9488470	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Diepholz M, et al. (2008) PMID:19081055	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Ediger B, et al. (2009) PMID:19473972	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Bueler SA and Rubinstein JL (2015) PMID:25546637	Figure 2
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Bueler SA and Rubinstein JL (2015) PMID:25546637	Figure 3
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Wilms T, et al. (2017) PMID:28604780	
VMA1	YDL185W	VPH1	YOR270C	Co-purification	manually curated	Bait	No Modification	BioGRID	Vasanthakumar T, et al. (2019) PMID:30910982	
VMA1	YDL185W	VPH1	YOR270C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Chen H, et al. (2020) PMID:33064727	
VMA1	YDL185W	VPS13	YLL040C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
VMA1	YDL185W	VRP1	YLR337C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
VMA1	YDL185W	XDJ1	YLR090W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA1	YDL185W	YEL023C	YEL023C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA1	YDL185W	YIG1	YPL201C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
VMA1	YDL185W	YPK2	YMR104C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Ho Y, et al. (2002) PMID:11805837	
VMA1	YDL185W	YRA1	YDR381W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Kashyap AK, et al. (2005) PMID:15584090	
