Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
P17891|TX=559292,P17891,"P17891|TX=559292 OS=Yeast S288c GN=CLC1 TA=YGR167W_mRNA,NM_001181296.3 PA=YGR167W_mRNA,P17891,NP_011683.3",CLC1,233,OS=Yeast,1,0.999,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,
P18239|TX=559292,P18239,"P18239|TX=559292 OS=Yeast S288c GN=PET9 TA=YBL030C_mRNA,NM_001178270.1 PA=YBL030C_mRNA,P18239,NP_009523.1",PET9,318,OS=Yeast,1,0.999,15,80,51,80,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,37,2,
P18480|TX=559292,P18480,"P18480|TX=559292 OS=Yeast S288c GN=SNF5 TA=YBR289W_mRNA,NM_001178637.4 PA=NP_009848.4,YBR289W_mRNA,P18480",SNF5,905,OS=Yeast,1,0.999,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,
P18562|TX=559292,P18562,"P18562|TX=559292 OS=Yeast S288c GN=YHR128W,FUR1 TA=YHR128W_mRNA,NM_001179258.1 PA=P18562,YHR128W_mRNA,NP_011996.2","YHR128W,FUR1",216,OS=Yeast,1,0.9902,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,
P18759|TX=559292,P18759,"P18759|TX=559292 OS=Yeast S288c GN=SEC18 TA=YBR080C_mRNA,NM_001178428.3 PA=NP_009636.3,P18759,YBR080C_mRNA",SEC18,758,OS=Yeast,1,0.999,22,56,46,56,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,29,2,0,0,
P18900|TX=559292,P18900,"P18900|TX=559292 OS=Yeast S288c GN=YBR003W,COQ1 TA=NM_001178351.1,YBR003W_mRNA PA=P18900,NP_009557.1,YBR003W_mRNA","YBR003W,COQ1",473,OS=Yeast,1,0.9938,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
P18961|TX=559292,P18961,"P18961|TX=559292 OS=Yeast S288c GN=YPK2 TA=NM_001182604.1,YMR104C_mRNA PA=P18961,NP_013822.1,YMR104C_mRNA",YPK2,677,OS=Yeast,1,0.999,12,35,17,35,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,15,0,0,0,
P18963|TX=559292,P18963,"P18963|TX=559292 OS=Yeast S288c GN=IRA1 TA=YBR140C_mRNA,NM_001178488.3 PA=YBR140C_mRNA,NP_009698.3,P18963",IRA1,3092,OS=Yeast,1,0.9788,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P19073|TX=559292,P19073,"P19073|TX=559292 OS=Yeast S288c GN=CDC42,YLR229C TA=NM_001182116.1,YLR229C_mRNA PA=YLR229C_mRNA,P19073,NP_013330.1","CDC42,YLR229C",191,OS=Yeast,1,0.999,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
P19097|TX=559292,P19097,"P19097|TX=559292 OS=Yeast S288c GN=YPL231W,FAS2 TA=YPL231W_mRNA,NM_001184045.1 PA=NP_015093.1,YPL231W_mRNA,P19097","YPL231W,FAS2",1887,OS=Yeast,1,0.9884,3,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P19358|TX=559292,P19358,"P19358|TX=559292 OS=Yeast S288c GN=SAM2 TA=YDR502C_mRNA,NM_001180810.3 PA=YDR502C_mRNA,P19358,NP_010790.3",SAM2,384,OS=Yeast,1,0.999,2,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
P19454|TX=559292,P19454,"P19454|TX=559292 OS=Yeast S288c GN=CKA2 TA=YOR061W_mRNA,NM_001183480.1 PA=P19454,YOR061W_mRNA,NP_014704.1",CKA2,339,OS=Yeast,1,0.9989,10,40,40,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,0,
P19524|TX=559292,P19524,"P19524|TX=559292 OS=Yeast S288c GN=MYO2 TA=YOR326W_mRNA,NM_001183746.1 PA=NP_014971.1,P19524,YOR326W_mRNA",MYO2,1574,OS=Yeast,1,0.999,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
P19657|TX=559292,P19657,"P19657|TX=559292 OS=Yeast S288c GN=PMA2,YPL036W TA=NM_001183850.1,YPL036W_mRNA PA=NP_015289.1,YPL036W_mRNA,P19657","PMA2,YPL036W",947,OS=Yeast,1,0.999,24,1374,1374,1374,5,32,42,182,62,24,9,0,9,27,63,174,34,9,21,2,5,36,53,161,52,21,11,3,7,9,66,114,87,37,14,3,
P19659|TX=559292,P19659,"P19659|TX=559292 OS=Yeast S288c GN=GAL11 TA=NM_001183305.1,YOL051W_mRNA PA=P19659,YOL051W_mRNA,NP_014591.1",GAL11,1081,OS=Yeast,1,0.999,7,27,26,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,2,11,1,0,
P19882|TX=559292,P19882,"P19882|TX=559292 OS=Yeast S288c GN=HSP60 TA=NM_001182146.1,YLR259C_mRNA PA=P19882,NP_013360.1,YLR259C_mRNA",HSP60,572,OS=Yeast,1,0.999,16,38,38,38,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,1,0,0,
P20049|TX=559292,P20049,"P20049|TX=559292 OS=Yeast S288c GN=TYR1,YBR166C TA=NM_001178514.1,YBR166C_mRNA PA=P20049,NP_009725.1,YBR166C_mRNA","TYR1,YBR166C",452,OS=Yeast,1,0.999,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
P20107|TX=559292,P20107,"P20107|TX=559292 OS=Yeast S288c GN=ZRC1 TA=NM_001182750.1,YMR243C_mRNA PA=NP_013970.1,YMR243C_mRNA,P20107",ZRC1,442,OS=Yeast,1,0.999,2,12,12,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,
P20424|TX=559292,P20424,"P20424|TX=559292 OS=Yeast S288c GN=SRP54 TA=NM_001184185.1,YPR088C_mRNA PA=NP_015413.1,YPR088C_mRNA,P20424",SRP54,541,OS=Yeast,1,0.999,9,25,25,25,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,3,0,0,
P20447|TX=559292,P20447,"P20447|TX=559292 OS=Yeast S288c GN=YGL078C,DBP3 TA=YGL078C_mRNA,NM_001180943.3 PA=NP_011437.3,P20447,YGL078C_mRNA","YGL078C,DBP3",523,OS=Yeast,1,0.999,9,29,27,29,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,8,0,1,0,
P20459|TX=559292,P20459,"P20459|TX=559292 OS=Yeast S288c GN=SUI2,YJR007W TA=NM_001181664.3,YJR007W_mRNA PA=NP_012540.3,P20459,YJR007W_mRNA","SUI2,YJR007W",304,OS=Yeast,1,0.999,9,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,14,0,
P20604|TX=559292,P20604,"P20604|TX=559292 OS=Yeast S288c GN=YDL047W,SIT4 TA=NM_001180106.1,YDL047W_mRNA PA=P20604,NP_010236.1,YDL047W_mRNA","YDL047W,SIT4",311,OS=Yeast,1,0.9977,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,
P20606|TX=559292,P20606,"P20606|TX=559292 OS=Yeast S288c GN=YPL218W,SAR1 TA=YPL218W_mRNA,NM_001184032.1 PA=YPL218W_mRNA,NP_015106.1,P20606","YPL218W,SAR1",190,OS=Yeast,1,0.999,4,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,
P21147|TX=559292,P21147,"P21147|TX=559292 OS=Yeast S288c GN=OLE1 TA=YGL055W_mRNA,NM_001180920.3 PA=YGL055W_mRNA,P21147,NP_011460.3",OLE1,510,OS=Yeast,1,0.999,4,7,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
P21242|TX=559292,P21242,"P21242|TX=559292 OS=Yeast S288c GN=YOR362C,PRE10 TA=YOR362C_mRNA,NM_001183782.1 PA=YOR362C_mRNA,NP_015007.1,P21242","YOR362C,PRE10",288,OS=Yeast,1,0.999,7,28,28,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,
P21243|TX=559292,P21243,"P21243|TX=559292 OS=Yeast S288c GN=SCL1 TA=NM_001180876.3,YGL011C_mRNA PA=NP_011504.3,P21243,YGL011C_mRNA",SCL1,252,OS=Yeast,1,0.9989,6,24,24,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,8,0,
P21375|TX=559292,P21375,"P21375|TX=559292 OS=Yeast S288c GN=OSM1 TA=NM_001181709.1,YJR051W_mRNA PA=P21375,NP_012585.1,YJR051W_mRNA",OSM1,501,OS=Yeast,1,0.9985,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,
P21524|TX=559292,P21524,"P21524|TX=559292 OS=Yeast S288c GN=RNR1 TA=YER070W_mRNA,NM_001178961.1 PA=YER070W_mRNA,NP_010993.1,P21524",RNR1,888,OS=Yeast,1,0.999,20,93,69,93,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,32,12,0,0,0,
P21538|TX=559292,P21538,"P21538|TX=559292 OS=Yeast S288c GN=REB1 TA=NM_001178397.1,YBR049C_mRNA PA=P21538,NP_009605.1,YBR049C_mRNA",REB1,810,OS=Yeast,1,0.999,3,8,8,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,
P21825|TX=559292,P21825,"P21825|TX=559292 OS=Yeast S288c GN=SEC62 TA=YPL094C_mRNA,NM_001183908.1 PA=NP_015231.2,YPL094C_mRNA,P21825",SEC62,274,OS=Yeast,1,0.9984,3,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,
P21965|TX=559292,P21965,"P21965|TX=559292 OS=Yeast S288c GN=MCK1 TA=YNL307C_mRNA,NM_001183145.1 PA=YNL307C_mRNA,NP_014092.1,P21965",MCK1,375,OS=Yeast,1,0.999,3,6,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
P22137|TX=559292,P22137,"P22137|TX=559292 OS=Yeast S288c GN=CHC1 TA=NM_001181071.1,YGL206C_mRNA PA=NP_011309.1,YGL206C_mRNA,P22137",CHC1,1653,OS=Yeast,1,0.999,35,114,110,114,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,29,4,0,0,0,0,0,0,48,11,3,0,0,0,
P22138|TX=559292,P22138,"P22138|TX=559292 OS=Yeast S288c GN=RPA135 TA=NM_001184107.1,YPR010C_mRNA PA=P22138,YPR010C_mRNA,NP_015335.1",RPA135,1203,OS=Yeast,1,0.999,6,17,17,17,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,
P22146|TX=559292,P22146,"P22146|TX=559292 OS=Yeast S288c GN=GAS1 TA=YMR307W_mRNA,NM_001182818.1 PA=NP_014038.1,YMR307W_mRNA,P22146",GAS1,559,OS=Yeast,1,0.999,6,19,19,19,0,0,1,6,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,
P22202|TX=559292,P22202,"P22202|TX=559292 OS=Yeast S288c GN=SSA4 TA=NM_001178994.3,YER103W_mRNA PA=P22202,NP_011029.3,YER103W_mRNA",SSA4,642,OS=Yeast,1,0.9989,3,23,0,23,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,4,0,2,2,
P22203|TX=559292,P22203,"P22203|TX=559292 OS=Yeast S288c GN=YOR332W,VMA4 TA=YOR332W_mRNA,NM_001183752.3 PA=YOR332W_mRNA,NP_014977.3,P22203","YOR332W,VMA4",233,OS=Yeast,1,0.9976,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
P22204|TX=559292,P22204,"P22204|TX=559292 OS=Yeast S288c GN=YGR092W,DBF2 TA=NM_001181221.3,YGR092W_mRNA PA=P22204,YGR092W_mRNA,NP_011606.3","YGR092W,DBF2",572,OS=Yeast,1,0.9987,6,11,2,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,
P22211|TX=559292,P22211,"P22211|TX=559292 OS=Yeast S288c GN=NPR1,YNL183C TA=YNL183C_mRNA,NM_001183021.1 PA=P22211,NP_014216.1,YNL183C_mRNA","NPR1,YNL183C",790,OS=Yeast,1,0.999,2,7,7,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,
P22213|TX=559292,P22213,"P22213|TX=559292 OS=Yeast S288c GN=SLY1,YDR189W TA=YDR189W_mRNA,NM_001180497.1 PA=P22213,YDR189W_mRNA,NP_010475.1","SLY1,YDR189W",666,OS=Yeast,1,0.9988,6,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,
P22224|TX=559292,P22224,"P22224|TX=559292 OS=Yeast S288c GN=SEC15,YGL233W TA=NM_001181099.1,YGL233W_mRNA PA=P22224,NP_011281.1,YGL233W_mRNA","SEC15,YGL233W",910,OS=Yeast,1,0.9946,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,
P22768|TX=559292,P22768,"P22768|TX=559292 OS=Yeast S288c GN=ARG1 TA=YOL058W_mRNA,NM_001183313.2 PA=P22768,YOL058W_mRNA,NP_014583.2",ARG1,420,OS=Yeast,1,0.985,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
P23248|TX=559292,P23248,"P23248|TX=559292 OS=Yeast S288c GN=RPS1B TA=YML063W_mRNA,NM_001182422.1 PA=YML063W_mRNA,P23248,NP_013648.1",RPS1B,255,OS=Yeast,1,0.999,4,12,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,
P23301|TX=559292,P23301,"P23301|TX=559292 OS=Yeast S288c GN=HYP2 TA=NM_001178849.3,YEL034W_mRNA PA=NP_010880.3,P23301,YEL034W_mRNA",HYP2,157,OS=Yeast,1,0.999,6,31,18,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,
P23585|TX=559292,P23585,"P23585|TX=559292 OS=Yeast S288c GN=YMR011W,HXT2 TA=YMR011W_mRNA,NM_001182507.1 PA=YMR011W_mRNA,P23585,NP_013724.1","YMR011W,HXT2",541,OS=Yeast,1,0.999,4,20,18,20,0,0,0,1,1,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,5,0,0,
P23638|TX=559292,P23638,"P23638|TX=559292 OS=Yeast S288c GN=YGR135W,PRE9 TA=YGR135W_mRNA,NM_001181264.3 PA=NP_011651.3,P23638,YGR135W_mRNA","YGR135W,PRE9",258,OS=Yeast,1,0.999,5,12,12,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,
P23639|TX=559292,P23639,"P23639|TX=559292 OS=Yeast S288c GN=YML092C,PRE8 TA=NM_001182451.1,YML092C_mRNA PA=P23639,NP_013618.1,YML092C_mRNA","YML092C,PRE8",250,OS=Yeast,1,0.9987,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,
P23641|TX=559292,P23641,"P23641|TX=559292 OS=Yeast S288c GN=MIR1 TA=YJR077C_mRNA,NM_001181735.1 PA=NP_012611.1,YJR077C_mRNA,P23641",MIR1,311,OS=Yeast,1,0.999,12,48,48,48,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,26,0,
P23642|TX=559292,P23642,"P23642|TX=559292 OS=Yeast S288c GN=VAN1 TA=NM_001182477.1,YML115C_mRNA PA=P23642,NP_013592.1,YML115C_mRNA",VAN1,535,OS=Yeast,1,0.9989,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,
P23644|TX=559292,P23644,"P23644|TX=559292 OS=Yeast S288c GN=TOM40 TA=YMR203W_mRNA,NM_001182710.1 PA=YMR203W_mRNA,P23644,NP_013930.1",TOM40,387,OS=Yeast,1,0.999,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,
P23724|TX=559292,P23724,"P23724|TX=559292 OS=Yeast S288c GN=PRE7 TA=YBL041W_mRNA,NM_001178281.1 PA=NP_009512.1,YBL041W_mRNA,P23724",PRE7,241,OS=Yeast,1,0.9965,4,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,
P24004|TX=559292,P24004,"P24004|TX=559292 OS=Yeast S288c GN=PEX1 TA=YKL197C_mRNA,NM_001179763.1 PA=NP_012724.1,YKL197C_mRNA,P24004",PEX1,1043,OS=Yeast,1,0.9927,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,
P24276|TX=559292,P24276,"P24276|TX=559292 OS=Yeast S288c GN=SSD1 TA=YDR293C_mRNA,NM_001180601.1 PA=YDR293C_mRNA,P24276,NP_010579.1",SSD1,1250,OS=Yeast,1,0.9984,4,10,10,10,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,
P24783|TX=559292,P24783,"P24783|TX=559292 OS=Yeast S288c GN=YNL112W,DBP2 TA=NM_001182950.3,YNL112W_mRNA PA=P24783,YNL112W_mRNA,NP_014287.3","YNL112W,DBP2",546,OS=Yeast,1,0.999,9,26,22,26,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,
P24814|TX=559292,P24814,"P24814|TX=559292 OS=Yeast S288c GN=GRR1 TA=NM_001181747.1,YJR090C_mRNA PA=P24814,YJR090C_mRNA,NP_012623.1",GRR1,1151,OS=Yeast,1,0.9982,5,9,9,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,
P25037|TX=559292,P25037,"P25037|TX=559292 OS=Yeast S288c GN=UBP1,YDL122W TA=NM_001180181.1,YDL122W_mRNA PA=YDL122W_mRNA,P25037,NP_010161.1","UBP1,YDL122W",809,OS=Yeast,1,0.99,4,10,10,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,
P25043|TX=559292,P25043,"P25043|TX=559292 OS=Yeast S288c GN=PUP1,YOR157C TA=YOR157C_mRNA,NM_001183576.3 PA=P25043,YOR157C_mRNA,NP_014800.3","PUP1,YOR157C",261,OS=Yeast,1,0.999,6,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
P25045|TX=559292,P25045,"P25045|TX=559292 OS=Yeast S288c GN=LCB1 TA=YMR296C_mRNA,NM_001182805.1 PA=P25045,NP_014025.1,YMR296C_mRNA",LCB1,558,OS=Yeast,1,0.999,5,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,
P25293|TX=559292,P25293,"P25293|TX=559292 OS=Yeast S288c GN=YKR048C,NAP1 TA=YKR048C_mRNA,NM_001179838.1 PA=NP_012974.1,YKR048C_mRNA,P25293","YKR048C,NAP1",417,OS=Yeast,1,0.999,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,
P25294|TX=559292,P25294,"P25294|TX=559292 OS=Yeast S288c GN=YNL007C,SIS1 TA=YNL007C_mRNA,NM_001182846.1 PA=YNL007C_mRNA,NP_014391.1,P25294","YNL007C,SIS1",352,OS=Yeast,1,0.9988,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
P25297|TX=559292,P25297,"P25297|TX=559292 OS=Yeast S288c GN=PHO84 TA=NM_001182486.1,YML123C_mRNA PA=NP_013583.1,P25297,YML123C_mRNA",PHO84,587,OS=Yeast,1,0.999,9,78,78,78,0,0,0,0,1,2,0,0,0,0,3,0,1,3,0,0,0,0,3,2,6,13,1,0,0,0,4,2,8,23,6,0,
P25303|TX=559292,P25303,"P25303|TX=559292 OS=Yeast S288c GN=YMR214W,SCJ1 TA=YMR214W_mRNA,NM_001182721.1 PA=YMR214W_mRNA,NP_013941.2,P25303","YMR214W,SCJ1",377,OS=Yeast,1,0.999,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
P25340|TX=559292,P25340,"P25340|TX=559292 OS=Yeast S288c GN=YGL012W,ERG4 TA=YGL012W_mRNA,NM_001180877.1 PA=YGL012W_mRNA,NP_011503.1,P25340","YGL012W,ERG4",473,OS=Yeast,1,0.9964,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,5,0,
P25349|TX=559292,P25349,"P25349|TX=559292 OS=Yeast S288c GN=YCR004C,YCP4 TA=YCR004C_mRNA,NM_001178717.1 PA=YCR004C_mRNA,NP_009930.1,P25349","YCR004C,YCP4",247,OS=Yeast,1,0.9975,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,
P25355|TX=559292,P25355,"P25355|TX=559292 OS=Yeast S288c GN=CTR86,YCR054C TA=NM_001178768.1,YCR054C_mRNA PA=P25355,NP_009983.1,YCR054C_mRNA","CTR86,YCR054C",563,OS=Yeast,1,0.998,7,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,
P25367|TX=559292,P25367,"P25367|TX=559292 OS=Yeast S288c GN=RNQ1 TA=YCL028W_mRNA,NM_001178673.1 PA=NP_009902.2,P25367,YCL028W_mRNA",RNQ1,405,OS=Yeast,1,0.999,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
P25369|TX=559292,P25369,"P25369|TX=559292 OS=Yeast S288c GN=YCL034W,LSB5 TA=NM_001178679.1,YCL034W_mRNA PA=P25369,YCL034W_mRNA,NP_009896.2","YCL034W,LSB5",354,OS=Yeast,1,0.999,5,25,25,25,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,3,0,
P25379|TX=559292,P25379,"P25379|TX=559292 OS=Yeast S288c GN=YCL064C,CHA1 TA=YCL064C_mRNA,NM_001178706.1 PA=P25379,NP_001018030.1,YCL064C_mRNA","YCL064C,CHA1",360,OS=Yeast,1,0.9988,10,35,35,35,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,9,0,
P25443|TX=559292,P25443,"P25443|TX=559292 OS=Yeast S288c GN=RPS2 TA=YGL123W_mRNA,NM_001180988.1 PA=P25443,YGL123W_mRNA,NP_011392.1",RPS2,254,OS=Yeast,1,0.999,9,27,27,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,4,0,1,0,0,0,1,0,5,0,
P25454|TX=559292,P25454,"P25454|TX=559292 OS=Yeast S288c GN=RAD51 TA=NM_001178986.3,YER095W_mRNA PA=P25454,NP_011021.3,YER095W_mRNA",RAD51,400,OS=Yeast,1,0.9989,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
P25491|TX=559292,P25491,"P25491|TX=559292 OS=Yeast S288c GN=YDJ1 TA=YNL064C_mRNA,NM_001182902.1 PA=P25491,YNL064C_mRNA,NP_014335.1",YDJ1,409,OS=Yeast,1,0.999,13,103,103,103,0,0,0,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,23,2,0,0,0,0,0,1,56,6,2,
P25567|TX=559292,P25567,"P25567|TX=559292 OS=Yeast S288c GN=SRO9,YCL037C TA=YCL037C_mRNA,NM_001178682.1 PA=P25567,NP_009893.2,YCL037C_mRNA","SRO9,YCL037C",434,OS=Yeast,1,0.999,10,68,68,68,0,0,0,0,14,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,16,6,0,0,
