Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-91,AFO-92,AFO-93,AFO-94,AFO-95,AFO-96,AFO-97,AFO-98,AFO-99,AFO-100,AFO-101,AFO-102,AFO-103,AFO-104,AFO-105,AFO-106,AFO-107,AFO-108,AFO-109,AFO-110,AFO-111,AFO-112,AFO-113,AFO-114,AFO-115,AFO-116,AFO-117,AFO-118,AFO-119,AFO-120,AFO-121,AFO-122,AFO-123,AFO-124,AFO-125,AFO-126,AFO-127,AFO-128,AFO-129,AFO-130,AFO-131,AFO-132,AFO-133,AFO-134,AFO-135,AFO-136,AFO-137,AFO-138,Indistinguishable Proteins
P32331|TX=559292,P32331,"P32331|TX=559292 OS=Yeast S288c GN=YMC1,YPR058W TA=YPR058W_mRNA,NM_001184155.1 PA=NP_015383.1,P32331,YPR058W_mRNA","YMC1,YPR058W",307,OS=Yeast,1,0.999,5,22,22,22,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,
P32332|TX=559292,P32332,"P32332|TX=559292 OS=Yeast S288c GN=OAC1,YKL120W TA=YKL120W_mRNA,NM_001179686.1 PA=P32332,YKL120W_mRNA,NP_012802.1","OAC1,YKL120W",324,OS=Yeast,1,0.9988,9,34,34,34,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,
P32352|TX=559292,P32352,"P32352|TX=559292 OS=Yeast S288c GN=ERG2 TA=YMR202W_mRNA,NM_001182709.1 PA=YMR202W_mRNA,NP_013929.1,P32352",ERG2,222,OS=Yeast,1,0.9956,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
P32366|TX=559292,P32366,"P32366|TX=559292 OS=Yeast S288c GN=VMA6,YLR447C TA=YLR447C_mRNA,NM_001182335.3 PA=NP_013552.3,P32366,YLR447C_mRNA","VMA6,YLR447C",345,OS=Yeast,1,0.9982,4,24,24,24,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,
P32368|TX=559292,P32368,"P32368|TX=559292 OS=Yeast S288c GN=SAC1 TA=YKL212W_mRNA,NM_001179777.1 PA=YKL212W_mRNA,NP_012710.1,P32368",SAC1,623,OS=Yeast,1,0.9989,4,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P32379|TX=559292,P32379,"P32379|TX=559292 OS=Yeast S288c GN=PUP2 TA=NM_001181382.1,YGR253C_mRNA PA=NP_011769.1,YGR253C_mRNA,P32379",PUP2,260,OS=Yeast,1,0.9986,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,
P32445|TX=559292,P32445,"P32445|TX=559292 OS=Yeast S288c GN=YCR028C-A,RIM1 TA=NM_001184315.1,YCR028C-A_mRNA PA=P32445,YCR028C-A_mRNA,NP_009958.2","YCR028C-A,RIM1",135,OS=Yeast,1,0.999,5,22,22,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,
P32466|TX=559292,P32466,"P32466|TX=559292 OS=Yeast S288c GN=HXT3,YDR345C TA=YDR345C_mRNA,NM_001180653.1 PA=YDR345C_mRNA,NP_010632.1,P32466","HXT3,YDR345C",567,OS=Yeast,1,0.9989,4,28,16,28,0,0,1,7,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,
P32471|TX=559292,P32471,"P32471|TX=559292 OS=Yeast S288c GN=EFB1 TA=NM_001178150.1,YAL003W_mRNA PA=NP_009398.1,YAL003W_mRNA,P32471",EFB1,206,OS=Yeast,1,0.9968,3,26,26,26,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,2,0,0,0,
P32473|TX=559292,P32473,"P32473|TX=559292 OS=Yeast S288c GN=PDB1,YBR221C TA=NM_001178569.1,YBR221C_mRNA PA=NP_009780.1,P32473,YBR221C_mRNA","PDB1,YBR221C",366,OS=Yeast,1,0.999,5,31,31,31,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,
P32476|TX=559292,P32476,"P32476|TX=559292 OS=Yeast S288c GN=ERG1,YGR175C TA=NM_001181304.1,YGR175C_mRNA PA=YGR175C_mRNA,NP_011691.1,P32476","ERG1,YGR175C",496,OS=Yeast,1,0.9985,5,12,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,
P32481|TX=559292,P32481,"P32481|TX=559292 OS=Yeast S288c GN=GCD11 TA=YER025W_mRNA,NM_001178916.1 PA=YER025W_mRNA,P32481,NP_010942.1",GCD11,527,OS=Yeast,1,0.999,14,42,42,42,0,0,1,20,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
P32495|TX=559292,P32495,"P32495|TX=559292 OS=Yeast S288c GN=NHP2,YDL208W TA=YDL208W_mRNA,NM_001180268.1 PA=YDL208W_mRNA,P32495,NP_010073.2","NHP2,YDL208W",156,OS=Yeast,1,0.9985,7,49,49,49,0,0,0,0,0,11,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,1,0,
P32497|TX=559292,P32497,"P32497|TX=559292 OS=Yeast S288c GN=NIP1,YMR309C TA=YMR309C_mRNA,NM_001182820.1 PA=P32497,YMR309C_mRNA,NP_014040.1","NIP1,YMR309C",812,OS=Yeast,1,0.999,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
P32563|TX=559292,P32563,"P32563|TX=559292 OS=Yeast S288c GN=VPH1,YOR270C TA=NM_001183689.3,YOR270C_mRNA PA=P32563,YOR270C_mRNA,NP_014913.3","VPH1,YOR270C",840,OS=Yeast,1,0.999,11,26,26,26,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P32565|TX=559292,P32565,"P32565|TX=559292 OS=Yeast S288c GN=RPN2 TA=NM_001179425.1,YIL075C_mRNA PA=NP_012190.1,P32565,YIL075C_mRNA",RPN2,945,OS=Yeast,1,0.9983,10,26,25,26,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,
P32568|TX=559292,P32568,"P32568|TX=559292 OS=Yeast S288c GN=SNQ2,YDR011W TA=NM_001180319.1,YDR011W_mRNA PA=P32568,YDR011W_mRNA,NP_010294.1","SNQ2,YDR011W",1501,OS=Yeast,1,0.9987,9,45,21,45,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,
P32582|TX=559292,P32582,"P32582|TX=559292 OS=Yeast S288c GN=CYS4 TA=NM_001181284.3,YGR155W_mRNA PA=NP_011671.3,P32582,YGR155W_mRNA",CYS4,507,OS=Yeast,1,0.999,3,13,13,13,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,
P32589|TX=559292,P32589,"P32589|TX=559292 OS=Yeast S288c GN=SSE1 TA=NM_001183920.1,YPL106C_mRNA PA=NP_015219.1,YPL106C_mRNA,P32589",SSE1,693,OS=Yeast,1,0.9989,11,62,25,62,0,1,11,2,0,0,0,0,0,9,8,0,0,0,0,0,0,4,9,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,
P32629|TX=559292,P32629,"P32629|TX=559292 OS=Yeast S288c GN=ANP1 TA=YEL036C_mRNA,NM_001178851.1 PA=YEL036C_mRNA,NP_010878.1,P32629",ANP1,500,OS=Yeast,1,0.9851,3,6,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
P32660|TX=559292,P32660,"P32660|TX=559292 OS=Yeast S288c GN=DNF1,YER166W TA=NM_001179056.3,YER166W_mRNA PA=NP_011093.3,P32660,YER166W_mRNA","DNF1,YER166W",1571,OS=Yeast,1,0.999,15,47,32,47,0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
P32767|TX=559292,P32767,"P32767|TX=559292 OS=Yeast S288c GN=KAP122 TA=NM_001180881.1,YGL016W_mRNA PA=P32767,YGL016W_mRNA,NP_011499.1",KAP122,1081,OS=Yeast,1,0.9989,7,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,
P32787|TX=559292,P32787,"P32787|TX=559292 OS=Yeast S288c GN=MGM101 TA=NM_001181802.1,YJR144W_mRNA PA=YJR144W_mRNA,P32787,NP_012678.1",MGM101,269,OS=Yeast,1,0.999,5,18,18,18,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,
P32791|TX=559292,P32791,"P32791|TX=559292 OS=Yeast S288c GN=FRE1,YLR214W TA=NM_001182101.1,YLR214W_mRNA PA=NP_013315.1,YLR214W_mRNA,P32791","FRE1,YLR214W",686,OS=Yeast,1,0.999,5,19,15,19,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,
P32794|TX=559292,P32794,"P32794|TX=559292 OS=Yeast S288c GN=AFG2 TA=NM_001182285.1,YLR397C_mRNA PA=NP_013501.1,YLR397C_mRNA,P32794",AFG2,780,OS=Yeast,1,0.9948,5,18,18,18,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
P32835|TX=559292,P32835,"P32835|TX=559292 OS=Yeast S288c GN=GSP1 TA=NM_001182181.1,YLR293C_mRNA PA=NP_013396.1,P32835,YLR293C_mRNA",GSP1,219,OS=Yeast,1,0.9985,3,37,1,37,0,1,1,1,2,3,1,1,0,1,0,2,3,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,3,2,0,0,0,0,0,0,1,2,0,0,
P32857|TX=559292,P32857,"P32857|TX=559292 OS=Yeast S288c GN=YKL039W,PTM1 TA=NM_001179605.1,YKL039W_mRNA PA=NP_012885.2,P32857,YKL039W_mRNA","YKL039W,PTM1",523,OS=Yeast,1,0.9986,3,10,10,10,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
P32861|TX=559292,P32861,"P32861|TX=559292 OS=Yeast S288c GN=UGP1,YKL035W TA=YKL035W_mRNA,NM_001179601.3 PA=YKL035W_mRNA,P32861,NP_012889.3","UGP1,YKL035W",499,OS=Yeast,1,0.999,11,45,45,45,0,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,
P32895|TX=559292,P32895,"P32895|TX=559292 OS=Yeast S288c GN=PRS1 TA=NM_001179747.1,YKL181W_mRNA PA=P32895,NP_012740.1,YKL181W_mRNA",PRS1,427,OS=Yeast,1,0.999,4,13,13,13,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,
P32896|TX=559292,P32896,"P32896|TX=559292 OS=Yeast S288c GN=PDC2,YDR081C TA=NM_001180389.1,YDR081C_mRNA PA=NP_010366.1,P32896,YDR081C_mRNA","PDC2,YDR081C",925,OS=Yeast,1,0.999,16,116,116,116,0,4,22,2,3,0,0,0,0,25,0,1,1,0,0,0,0,16,6,1,1,0,0,0,0,17,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,8,0,0,0,0,0,
P32915|TX=559292,P32915,"P32915|TX=559292 OS=Yeast S288c GN=SEC61,YLR378C TA=YLR378C_mRNA,NM_001182267.1 PA=YLR378C_mRNA,NP_013482.1,P32915","SEC61,YLR378C",480,OS=Yeast,1,0.9921,4,21,21,21,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,
P33297|TX=559292,P33297,"P33297|TX=559292 OS=Yeast S288c GN=RPT5 TA=NM_001183536.3,YOR117W_mRNA PA=NP_014760.3,P33297,YOR117W_mRNA",RPT5,434,OS=Yeast,1,0.999,5,14,14,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,
P33298|TX=559292,P33298,"P33298|TX=559292 OS=Yeast S288c GN=RPT3 TA=YDR394W_mRNA,NM_001180702.3 PA=YDR394W_mRNA,NP_010682.3,P33298",RPT3,428,OS=Yeast,1,0.9978,6,12,12,12,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
P33299|TX=559292,P33299,"P33299|TX=559292 OS=Yeast S288c GN=RPT1 TA=YKL145W_mRNA,NM_001179711.1 PA=NP_012777.1,YKL145W_mRNA,P33299",RPT1,467,OS=Yeast,1,0.999,9,53,46,53,0,0,0,9,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,
P33300|TX=559292,P33300,"P33300|TX=559292 OS=Yeast S288c GN=SUR1 TA=NM_001183871.1,YPL057C_mRNA PA=NP_015268.1,YPL057C_mRNA,P33300",SUR1,382,OS=Yeast,1,0.9928,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
P33302|TX=559292,P33302,"P33302|TX=559292 OS=Yeast S288c GN=PDR5 TA=YOR153W_mRNA,NM_001183572.3 PA=YOR153W_mRNA,P33302,NP_014796.3",PDR5,1511,OS=Yeast,1,0.999,22,94,64,94,0,13,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,
P33303|TX=559292,P33303,"P33303|TX=559292 OS=Yeast S288c GN=SFC1 TA=YJR095W_mRNA,NM_001181753.1 PA=YJR095W_mRNA,P33303,NP_012629.1",SFC1,322,OS=Yeast,1,0.999,5,18,18,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,
P33322|TX=559292,P33322,"P33322|TX=559292 OS=Yeast S288c GN=YLR175W,CBF5 TA=YLR175W_mRNA,NM_001182062.1 PA=P33322,YLR175W_mRNA,NP_013276.1","YLR175W,CBF5",483,OS=Yeast,1,0.9988,5,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P33328|TX=559292,P33328,"P33328|TX=559292 OS=Yeast S288c GN=SNC2,YOR327C TA=NM_001183747.3,YOR327C_mRNA PA=P33328,NP_014972.3,YOR327C_mRNA","SNC2,YOR327C",115,OS=Yeast,1,0.9937,3,5,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P33333|TX=559292,P33333,"P33333|TX=559292 OS=Yeast S288c GN=SLC1,YDL052C TA=YDL052C_mRNA,NM_001180111.1 PA=P33333,YDL052C_mRNA,NP_010231.1","SLC1,YDL052C",303,OS=Yeast,1,0.9964,6,22,22,22,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,0,0,0,
P33418|TX=559292,P33418,"P33418|TX=559292 OS=Yeast S288c GN=YKL205W,LOS1 TA=NM_001179770.1,YKL205W_mRNA PA=NP_012717.1,P33418,YKL205W_mRNA","YKL205W,LOS1",1100,OS=Yeast,1,0.999,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,
P33442|TX=559292,P33442,"P33442|TX=559292 OS=Yeast S288c GN=RPS1A TA=NM_001182329.1,YLR441C_mRNA PA=NP_013546.1,P33442,YLR441C_mRNA",RPS1A,255,OS=Yeast,1,0.999,5,61,61,61,0,0,2,1,5,7,0,0,0,1,0,1,6,0,0,0,0,1,1,1,5,2,1,0,0,1,1,0,3,3,1,0,0,0,0,1,7,2,0,0,0,0,0,0,5,3,0,0,
P33750|TX=559292,P33750,"P33750|TX=559292 OS=Yeast S288c GN=SOF1,YLL011W TA=YLL011W_mRNA,NM_001181831.1 PA=YLL011W_mRNA,P33750,NP_013090.1","SOF1,YLL011W",489,OS=Yeast,1,0.999,7,22,22,22,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
P33892|TX=559292,P33892,"P33892|TX=559292 OS=Yeast S288c GN=GCN1 TA=NM_001181060.3,YGL195W_mRNA PA=P33892,NP_011320.3,YGL195W_mRNA",GCN1,2672,OS=Yeast,1,0.9988,15,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,
P34237|TX=559292,P34237,"P34237|TX=559292 OS=Yeast S288c GN=COY1,YKL179C TA=YKL179C_mRNA,NM_001179745.1 PA=YKL179C_mRNA,P34237,NP_012742.1","COY1,YKL179C",679,OS=Yeast,1,0.9746,3,7,7,7,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P34241|TX=559292,P34241,"P34241|TX=559292 OS=Yeast S288c GN=URB1 TA=YKL014C_mRNA,NM_001179580.3 PA=YKL014C_mRNA,NP_012911.3,P34241",URB1,1764,OS=Yeast,1,0.9961,6,13,13,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
P34730|TX=559292,P34730,"P34730|TX=559292 OS=Yeast S288c GN=BMH2 TA=NM_001180407.3,YDR099W_mRNA PA=P34730,NP_010384.3,YDR099W_mRNA",BMH2,273,OS=Yeast,1,0.999,2,5,5,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
P34760|TX=559292,P34760,"P34760|TX=559292 OS=Yeast S288c GN=TSA1 TA=YML028W_mRNA,NM_001182386.1 PA=P34760,YML028W_mRNA,NP_013684.1",TSA1,196,OS=Yeast,1,0.9828,3,39,28,39,0,0,2,1,3,3,0,0,0,2,0,1,1,0,0,0,0,1,1,2,5,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,5,0,0,0,0,1,0,2,2,0,0,
P35191|TX=559292,P35191,"P35191|TX=559292 OS=Yeast S288c GN=YFL016C,MDJ1 TA=NM_001179950.1,YFL016C_mRNA PA=NP_116638.1,YFL016C_mRNA,P35191","YFL016C,MDJ1",511,OS=Yeast,1,0.9735,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
P35194|TX=559292,P35194,"P35194|TX=559292 OS=Yeast S288c GN=UTP20,YBL004W TA=YBL004W_mRNA,NM_001178244.1 PA=NP_009551.2,YBL004W_mRNA,P35194","UTP20,YBL004W",2493,OS=Yeast,1,0.9986,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P35691|TX=559292,P35691,"P35691|TX=559292 OS=Yeast S288c GN=TMA19 TA=NM_001179622.1,YKL056C_mRNA PA=YKL056C_mRNA,P35691,NP_012867.1",TMA19,167,OS=Yeast,1,0.9984,4,24,24,24,0,0,1,1,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,
P35724|TX=559292,P35724,"P35724|TX=559292 OS=Yeast S288c GN=YKL064W,MNR2 TA=YKL064W_mRNA,NM_001179630.1 PA=YKL064W_mRNA,NP_012859.1,P35724","YKL064W,MNR2",969,OS=Yeast,1,0.999,11,122,122,122,0,9,9,5,0,0,0,0,0,17,6,3,0,0,0,0,0,16,7,2,0,0,0,0,0,13,7,0,0,0,0,0,0,6,7,3,0,0,0,0,0,0,12,0,0,0,0,0,
P35997|TX=559292,P35997,"P35997|TX=559292 OS=Yeast S288c GN=RPS27A TA=YKL156W_mRNA,NM_001179722.1 PA=NP_012766.1,YKL156W_mRNA,P35997",RPS27A,82,OS=Yeast,1,0.9965,3,14,0,14,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P38711|TX=559292
P36008|TX=559292,P36008,"P36008|TX=559292 OS=Yeast S288c GN=TEF4 TA=YKL081W_mRNA,NM_001179647.1 PA=YKL081W_mRNA,P36008,NP_012842.1",TEF4,412,OS=Yeast,1,0.9989,7,55,55,55,0,1,1,14,1,0,0,0,0,2,2,4,1,0,0,0,0,0,3,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,1,3,3,0,0,0,
P36105|TX=559292,P36105,"P36105|TX=559292 OS=Yeast S288c GN=RPL14A TA=NM_001179572.1,YKL006W_mRNA PA=NP_012920.1,P36105,YKL006W_mRNA",RPL14A,138,OS=Yeast,1,0.9988,5,87,0,87,0,1,4,5,4,1,3,0,0,5,1,1,3,0,6,0,0,1,3,2,3,3,4,0,0,1,4,1,2,1,5,0,0,0,1,3,3,4,5,0,0,0,2,0,2,2,1,0,P38754|TX=559292
P36144|TX=559292,P36144,"P36144|TX=559292 OS=Yeast S288c GN=UTP30,YKR060W TA=NM_001179850.1,YKR060W_mRNA PA=YKR060W_mRNA,NP_012986.1,P36144","UTP30,YKR060W",274,OS=Yeast,1,0.9987,10,27,27,27,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,
P37291|TX=559292,P37291,"P37291|TX=559292 OS=Yeast S288c GN=SHM2 TA=NM_001181945.1,YLR058C_mRNA PA=YLR058C_mRNA,P37291,NP_013159.1",SHM2,469,OS=Yeast,1,0.999,15,82,77,82,0,0,0,18,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0,
P37292|TX=559292,P37292,"P37292|TX=559292 OS=Yeast S288c GN=SHM1 TA=NM_001178611.3,YBR263W_mRNA PA=NP_009822.4,YBR263W_mRNA,P37292",SHM1,490,OS=Yeast,1,0.9957,4,10,10,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
P37296|TX=559292,P37296,"P37296|TX=559292 OS=Yeast S288c GN=YMR054W,STV1 TA=YMR054W_mRNA,NM_001182552.1 PA=NP_013770.1,P37296,YMR054W_mRNA","YMR054W,STV1",890,OS=Yeast,1,0.9984,7,17,17,17,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
P37304|TX=559292,P37304,"P37304|TX=559292 OS=Yeast S288c GN=YDR251W,PAM1 TA=YDR251W_mRNA,NM_001180559.3 PA=YDR251W_mRNA,NP_010537.3,P37304","YDR251W,PAM1",830,OS=Yeast,1,0.9987,3,9,8,9,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
