"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"BP","GO:0046467","membrane lipid biosynthetic process",0.0212328767123288,0.0122879889235029,0.000520830105061044,0.00921125242950818,0.0083332816809767,"YBR058C-A/YBR159W/YBR183W/YBR265W/YCL005W/YCR017C/YCR034W/YCR044C/YDR062W/YDR072C/YDR297W/YDR331W/YER019W/YGR216C/YHL003C/YHR188C/YHR205W/YIL039W/YJL062W/YJL097W/YJL187C/YJL196C/YKL004W/YKL008C/YLL031C/YLR372W/YLR459W/YMR281W/YMR296C/YNL183C/YPR183W",31,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_membrane lipid biosynthetic process"
"BP","GO:0033750","ribosome localization",0.0212328767123288,0.00917272412599515,2.5910338881345e-07,9.43441162797208e-06,8.53517045503128e-06,"YAL059W/YBR230C/YDL229W/YDR091C/YDR101C/YER006W/YER036C/YGL097W/YGL099W/YGL135W/YPL220W/YGR245C/YGR285C/YHR170W/YIL148W/YKR094C/YIR026C/YJL010C/YKL009W/YKL057C/YLL034C/YLR106C/YLR293C/YMR235C/YNL178W/YNL209W/YOR294W/YPL093W/YPL169C/YPL239W/YPR016C",31,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ribosome localization"
"BP","GO:1903313","positive regulation of mRNA metabolic process",0.0205479452054795,0.0114226375908619,0.000273708456365987,0.00523996498424369,0.00474051759479235,"YAL021C/YBR212W/YCR077C/YCR093W/YDL111C/YDL160C/YDL224C/YDR172W/YDR266C/YER049W/YER165W/YGL014W/YGL178W/YGR158C/YGR195W/YHR086W/YJL050W/YJR091C/YKL025C/YLL013C/YLR264W/YMR116C/YNL112W/YNL197C/YNL232W/YNR052C/YOL021C/YOR001W/YOR167C/YOR359W",30,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_positive regulation of mRNA metabolic process"
"BP","GO:0000054","ribosomal subunit export from nucleus",0.0205479452054795,0.00899965385946694,6.12467246829425e-07,2.18721476415816e-05,1.97874033591045e-05,"YAL059W/YDL229W/YDR091C/YDR101C/YER006W/YER036C/YGL097W/YGL099W/YGL135W/YPL220W/YGR245C/YGR285C/YHR170W/YIL148W/YKR094C/YIR026C/YJL010C/YKL009W/YKL057C/YLL034C/YLR106C/YLR293C/YMR235C/YNL178W/YNL209W/YOR294W/YPL093W/YPL169C/YPL239W/YPR016C",30,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ribosomal subunit export from nucleus"
"BP","GO:0006164","purine nucleotide biosynthetic process",0.0198630136986301,0.0115957078573901,0.00092611142057084,0.0153552581071433,0.0138916713085626,"YAR015W/YBL068W/YBR084W/YBR221C/YDL185W/YDR226W/YDR399W/YDR408C/YDR454C/YDR531W/YGL234W/YGR061C/YHL011C/YHR216W/YJL116C/YJR105W/YKL181W/YKR080W/YLR153C/YLR359W/YLR432W/YML022W/YML056C/YMR120C/YMR217W/YMR300C/YNL220W/YOL061W/YOR065W",29,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_purine nucleotide biosynthetic process"
"BP","GO:0050779","RNA destabilization",0.0198630136986301,0.010730356524749,0.000186920365652117,0.00381440790127452,0.00345083751973139,"YAL021C/YBR212W/YCR077C/YCR093W/YDL111C/YDL160C/YDL224C/YDR172W/YDR266C/YER049W/YER165W/YGL014W/YGL178W/YGR158C/YGR195W/YJL050W/YJR091C/YKL025C/YLL013C/YLR264W/YMR116C/YNL112W/YNL197C/YNL232W/YNR052C/YOL021C/YOR001W/YOR167C/YOR359W",29,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_RNA destabilization"
"BP","GO:0061014","positive regulation of mRNA catabolic process",0.0198630136986301,0.010730356524749,0.000186920365652117,0.00381440790127452,0.00345083751973139,"YAL021C/YBR212W/YCR077C/YCR093W/YDL111C/YDL160C/YDL224C/YDR172W/YDR266C/YER049W/YER165W/YGL014W/YGL178W/YGR158C/YGR195W/YJL050W/YJR091C/YKL025C/YLL013C/YLR264W/YMR116C/YNL112W/YNL197C/YNL232W/YNR052C/YOL021C/YOR001W/YOR167C/YOR359W",29,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_positive regulation of mRNA catabolic process"
"BP","GO:0061157","mRNA destabilization",0.0198630136986301,0.010730356524749,0.000186920365652117,0.00381440790127452,0.00345083751973139,"YAL021C/YBR212W/YCR077C/YCR093W/YDL111C/YDL160C/YDL224C/YDR172W/YDR266C/YER049W/YER165W/YGL014W/YGL178W/YGR158C/YGR195W/YJL050W/YJR091C/YKL025C/YLL013C/YLR264W/YMR116C/YNL112W/YNL197C/YNL232W/YNR052C/YOL021C/YOR001W/YOR167C/YOR359W",29,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_mRNA destabilization"
"BP","GO:0070972","protein localization to endoplasmic reticulum",0.0198630136986301,0.0100380754586362,4.07200630028724e-05,0.00102185347292343,0.000924455484389536,"YAL007C/YAR002C-A/YBL040C/YBR106W/YBR171W/YBR283C/YDL018C/YDL092W/YDR086C/YDR252W/YDR292C/YER019C-A/YER087C-B/YFL045C/YGL200C/YHL028W/YHR193C/YJR117W/YKL122C/YLL024C/YLR378C/YML105C/YNL064C/YOR016C/YOR254C/YPL037C/YPL085W/YPL094C/YPL243W",29,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_protein localization to endoplasmic reticulum"
"MF","GO:0003743","translation initiation factor activity",0.0193236714975845,0.006265227984685,4.9065419412571e-11,2.89485974534169e-09,2.56947854292148e-09,"YBR079C/YDR091C/YDR429C/YEL034W/YER025W/YER153C/YGR054W/YGR083C/YGR162W/YJL138C/YKR059W/YJR007W/YKR026C/YLR192C/YLR291C/YMR146C/YMR260C/YMR309C/YNL244C/YOL139C/YOR204W/YOR260W/YOR276W/YOR361C/YPL237W/YPR016C/YPR041W/YPR163C",28,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_translation initiation factor activity"
"BP","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0191780821917808,0.00761509172724126,7.94742448049261e-08,3.14007814048399e-06,2.8407815164314e-06,"YBL004W/YBR247C/YCL059C/YCR057C/YDL148C/YDR339C/YDR450W/YML026C/YER082C/YGL171W/YGR214W/YJL010C/YJL109C/YJL136C/YJR002W/YKR057W/YLR048W/YLR129W/YLR186W/YLR222C/YML093W/YMR229C/YOR004W/YOR294W/YOR310C/YPR112C/YPR137W/YPR144C",28,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"BP","GO:0009124","nucleoside monophosphate biosynthetic process",0.0191780821917808,0.00709588092765663,7.64177333209111e-09,3.734413967814e-07,3.37846820997712e-07,"YAR015W/YBL068W/YBR252W/YDR020C/YDR399W/YDR408C/YGL234W/YGR061C/YHL011C/YHR128W/YHR216W/YJL130C/YJR105W/YKL181W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W/YNR012W/YOL061W/YOR074C",28,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_nucleoside monophosphate biosynthetic process"
"BP","GO:0009161","ribonucleoside monophosphate metabolic process",0.0191780821917808,0.00709588092765663,7.64177333209111e-09,3.734413967814e-07,3.37846820997712e-07,"YAR015W/YBL068W/YDR020C/YDR226W/YDR399W/YDR408C/YDR454C/YGL234W/YGR061C/YHL011C/YHR128W/YHR216W/YJL130C/YJR105W/YKL181W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W/YNR012W/YOL061W",28,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ribonucleoside monophosphate metabolic process"
"MF","GO:0000049","tRNA binding",0.0186335403726708,0.00748346675948486,1.94983789995529e-07,7.07941145214537e-06,6.28368813103001e-06,"YBL024W/YBL076C/YDL051W/YDL201W/YDL219W/YDR023W/YDR037W/YER025W/YFL022C/YGL105W/YGL169W/YGR054W/YGR128C/YJR007W/YKL205W/YLL024C/YLR384C/YMR312W/YNL119W/YNL132W/YOL021C/YOL093W/YOL124C/YOR112W/YPL086C/YPL237W/YPR047W",27,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_tRNA binding"
"BP","GO:0006414","translational elongation",0.0184931506849315,0.00744202146071305,2.03984655927657e-07,7.57599012115318e-06,6.85388443916927e-06,"YAL003W/YBR118W/YPR080W/YBR246W/YDL081C/YDL130W/YDL160C/YDL229W/YDR382W/YDR385W/YOR133W/YEL034W/YFR009W/YGL195W/YGR285C/YHR064C/YJR047C/YKL081W/YKL191W/YLR150W/YLR172C/YLR249W/YMR116C/YMR247C/YNL209W/YOL039W/YOR187W",27,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_translational elongation"
"MF","GO:0033218","amide binding",0.0179434092477571,0.0106160807518274,0.0021194911303286,0.0312624941723469,0.0277486009825916,"YBL040C/YBR118W/YPR080W/YBR218C/YBR283C/YDL092W/YDR304C/YER110C/YGR082W/YGR159C/YHR047C/YHR098C/YHR174W/YIL109C/YIL137C/YKL060C/YLR347C/YLR378C/YMR308C/YNL189W/YNR028W/YOL049W/YOL086C/YPL063W/YPL106C/YPL243W",26,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_amide binding"
"BP","GO:0009156","ribonucleoside monophosphate biosynthetic process",0.0178082191780822,0.006576670128072,2.50468016612258e-08,1.08167234150922e-06,9.78572716066496e-07,"YAR015W/YBL068W/YDR020C/YDR399W/YDR408C/YGL234W/YGR061C/YHL011C/YHR128W/YHR216W/YJL130C/YJR105W/YKL181W/YLR359W/YLR420W/YLR432W/YML022W/YML056C/YML106W/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W/YNR012W/YOL061W",26,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ribonucleoside monophosphate biosynthetic process"
"MF","GO:0030515","snoRNA binding",0.0172532781228433,0.00539505743125653,1.34803009988608e-10,7.06966896829142e-09,6.27504069888489e-09,"YBR247C/YDL060W/YDL148C/YDL208W/YEL026W/YGR128C/YHR052W/YHR072W-A/YHR089C/YHR148W/YHR196W/YJL033W/YJL109C/YLR129W/YLR197W/YLR222C/YMR093W/YMR229C/YNL075W/YNL112W/YNL132W/YOR310C/YPL126W/YPL217C/YPR137W",25,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_snoRNA binding"
"CC","GO:0030134","COPII-coated ER to Golgi transport vesicle",0.0171350239890336,0.00779220779220779,1.33258755514287e-05,0.000169904913280717,0.000146785020171753,"YAL007C/YAR002C-A/YBR210W/YDL018C/YDL121C/YDL195W/YEL043W/YFL048C/YGL200C/YGR172C/YHR035W/YHR098C/YHR110W/YHR181W/YIL109C/YLR208W/YLR268W/YMR292W/YMR307W/YNL044W/YNL263C/YOR016C/YPL085W/YPL218W/YPR181C",25,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","CC_COPII-coated ER to Golgi transport vesicle"
"BP","GO:0097064","ncRNA export from nucleus",0.0171232876712329,0.00605745932848737,1.18067847373831e-08,5.4812998143301e-07,4.9588495897009e-07,"YBR118W/YPR080W/YDR450W/YML026C/YER131W/YGL097W/YGL123W/YGL189C/YGR090W/YGR128C/YGR214W/YJR123W/YKL205W/YLR048W/YLR264W/YMR230W/YMR235C/YNL178W/YNL302C/YOL040C/YOL121C/YOR046C/YOR112W/YOR167C/YOR293W",25,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ncRNA export from nucleus"
"MF","GO:0008186","ATP-dependent activity, acting on RNA",0.0158730158730159,0.00817960320222764,0.000366628185183744,0.00721035430861363,0.00639991305715483,"YBR142W/YDL031W/YDL084W/YDL160C/YDR194C/YGL078C/YGL120C/YGL171W/YHR065C/YJL033W/YJL050W/YJL138C/YKR059W/YKL078W/YKR024C/YLL008W/YLR276C/YMR128W/YMR290C/YNL112W/YNR038W/YOR046C/YOR204W",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_ATP-dependent activity, acting on RNA"
"MF","GO:0003724","RNA helicase activity",0.0158730158730159,0.00783153498085625,0.000160286173927226,0.00328935104755003,0.00291962916352567,"YBR142W/YDL031W/YDL084W/YDL160C/YDR194C/YGL078C/YGL120C/YGL171W/YHR065C/YJL033W/YJL050W/YJL138C/YKR059W/YKL078W/YKR024C/YLL008W/YLR276C/YMR128W/YMR290C/YNL112W/YNR038W/YOR046C/YOR204W",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_RNA helicase activity"
"MF","GO:0043022","ribosome binding",0.0158730158730159,0.00713539853811347,2.31381135981799e-05,0.000606732756574496,0.000538536211232492,"YBR025C/YBR283C/YCR059C/YDL040C/YDR172W/YDR385W/YOR133W/YEL034W/YER154W/YGL195W/YGR054W/YGR285C/YIL016W/YJR007W/YJR047C/YLR150W/YLR378C/YLR435W/YMR116C/YPL215W/YPL226W/YPR016C/YPR125W",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_ribosome binding"
"BP","GO:0006487","protein N-linked glycosylation",0.0157534246575342,0.00848044305988231,0.000799591495420565,0.013622398229321,0.0123239790119867,"YBR070C/YBR243C/YDL232W/YDR483W/YEL002C/YEL036C/YFL045C/YGL022W/YGL038C/YGL226C-A/YGR227W/YIL049W/YJL002C/YJL183W/YMR149W/YNL080C/YNL219C/YNR030W/YOR067C/YOR085W/YPL053C/YPL227C/YPR183W",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_protein N-linked glycosylation"
"BP","GO:0000966","RNA 5'-end processing",0.0157534246575342,0.00778816199376947,0.000165670275427114,0.00353620346515115,0.00319915014617875,"YBL004W/YCR057C/YDL148C/YDR339C/YER082C/YGL171W/YJL010C/YJL109C/YJR002W/YLR091W/YLR129W/YLR186W/YLR222C/YML091C/YML093W/YMR229C/YOL077C/YOR004W/YOR310C/YPL217C/YPR112C/YPR137W/YPR144C",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_RNA 5'-end processing"
"BP","GO:0034471","ncRNA 5'-end processing",0.0157534246575342,0.00761509172724126,0.000106091070611811,0.00249381162184979,0.00225611390668155,"YBL004W/YCR057C/YDL148C/YDR339C/YER082C/YGL171W/YJL010C/YJL109C/YJR002W/YLR091W/YLR129W/YLR186W/YLR222C/YML091C/YML093W/YMR229C/YOL077C/YOR004W/YOR310C/YPL217C/YPR112C/YPR137W/YPR144C",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ncRNA 5'-end processing"
"BP","GO:0000028","ribosomal small subunit assembly",0.0157534246575342,0.00484596746278989,3.99688627619917e-10,2.31944306715683e-08,2.09836529500456e-08,"YBR048W/YDR025W/YCR031C/YCR057C/YDR447C/YGR159C/YGR214W/YHR021C/YJL191W/YJR123W/YKL156W/YLR048W/YLR167W/YLR264W/YML024W/YMR229C/YMR230W/YNL302C/YOL040C/YOL121C/YOR167C/YOR293W/YPR112C",23,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_ribosomal small subunit assembly"
"MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activity",0.0151828847481021,0.00591715976331361,1.28537774800371e-06,3.79186435661096e-05,3.36566015595709e-05,"YBR154C/YDL140C/YDL150W/YDR156W/YGL070C/YHR143W-A/YIL021W/YIR008C/YJL011C/YJL148W/YJR063W/YNL113W/YNL248C/YNR003C/YOL005C/YOR224C/YOR340C/YOR341W/YPR010C/YPR110C/YPR187W/YPR190C",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_DNA-directed 5'-3' RNA polymerase activity"
"MF","GO:0034062","5'-3' RNA polymerase activity",0.0151828847481021,0.00591715976331361,1.28537774800371e-06,3.79186435661096e-05,3.36566015595709e-05,"YBR154C/YDL140C/YDL150W/YDR156W/YGL070C/YHR143W-A/YIL021W/YIR008C/YJL011C/YJL148W/YJR063W/YNL113W/YNL248C/YNR003C/YOL005C/YOR224C/YOR340C/YOR341W/YPR010C/YPR110C/YPR187W/YPR190C",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_5'-3' RNA polymerase activity"
"MF","GO:0097747","RNA polymerase activity",0.0151828847481021,0.00591715976331361,1.28537774800371e-06,3.79186435661096e-05,3.36566015595709e-05,"YBR154C/YDL140C/YDL150W/YDR156W/YGL070C/YHR143W-A/YIL021W/YIR008C/YJL011C/YJL148W/YJR063W/YNL113W/YNL248C/YNR003C/YOL005C/YOR224C/YOR340C/YOR341W/YPR010C/YPR110C/YPR187W/YPR190C",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_RNA polymerase activity"
"BP","GO:0072599","establishment of protein localization to endoplasmic reticulum",0.0150684931506849,0.00744202146071305,0.000224876592312421,0.00444250885025709,0.00401907101154114,"YBR106W/YBR171W/YBR283C/YDL092W/YDR086C/YDR252W/YDR292C/YER019C-A/YER087C-B/YFL045C/YHL028W/YHR193C/YJR117W/YKL122C/YLL024C/YLR378C/YML105C/YNL064C/YOR254C/YPL037C/YPL094C/YPL243W",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_establishment of protein localization to endoplasmic reticulum"
"BP","GO:0045047","protein targeting to ER",0.0150684931506849,0.00726895119418484,0.000143764462849648,0.00314083067660936,0.00284146232455774,"YBR106W/YBR171W/YBR283C/YDL092W/YDR086C/YDR252W/YDR292C/YER019C-A/YER087C-B/YFL045C/YHL028W/YHR193C/YJR117W/YKL122C/YLL024C/YLR378C/YML105C/YNL064C/YOR254C/YPL037C/YPL094C/YPL243W",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_protein targeting to ER"
"BP","GO:0006450","regulation of translational fidelity",0.0150684931506849,0.00519210799584631,4.22047396607023e-08,1.74164892333165e-06,1.57564361399955e-06,"YBL076C/YBR189W/YDL075W/YDL219W/YDL229W/YER025W/YER049W/YFL022C/YGL123W/YGL169W/YGR094W/YGR118W/YPR132W/YGR285C/YHR020W/YHR064C/YIL110W/YJR123W/YLR406C/YNL209W/YNL244C/YPL160W",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_regulation of translational fidelity"
"BP","GO:0002183","cytoplasmic translational initiation",0.0150684931506849,0.00484596746278989,4.68146014832979e-09,2.48384899869955e-07,2.2471008711983e-07,"YBR079C/YCR077C/YDR429C/YER007C-A/YER025W/YGR162W/YJL138C/YKR059W/YJR007W/YLR192C/YMR146C/YMR260C/YMR309C/YNL175C/YNL244C/YOL139C/YOR204W/YOR260W/YOR361C/YPL237W/YPR041W/YPR163C",22,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_cytoplasmic translational initiation"
"BP","GO:0043038","amino acid activation",0.0143835616438356,0.00674974039460021,0.000121140646746842,0.00271033953022754,0.00245200345222524,"YBL076C/YDR023W/YDR037W/YDR341C/YFL022C/YGL105W/YGL245W/YGR094W/YGR185C/YGR264C/YHR019C/YHR020W/YIL078W/YLL018C/YLR060W/YNL247W/YOL097C/YOR168W/YPL160W/YPR033C/YPR047W",21,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_amino acid activation"
"BP","GO:0043039","tRNA aminoacylation",0.0143835616438356,0.00674974039460021,0.000121140646746842,0.00271033953022754,0.00245200345222524,"YBL076C/YDR023W/YDR037W/YDR341C/YFL022C/YGL105W/YGL245W/YGR094W/YGR185C/YGR264C/YHR019C/YHR020W/YIL078W/YLL018C/YLR060W/YNL247W/YOL097C/YOR168W/YPL160W/YPR033C/YPR047W",21,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_tRNA aminoacylation"
"BP","GO:0000967","rRNA 5'-end processing",0.0143835616438356,0.00623052959501558,2.42724276048737e-05,0.000653244899452905,0.000590980846031707,"YBL004W/YCR057C/YDL148C/YDR339C/YER082C/YGL171W/YJL010C/YJL109C/YJR002W/YLR129W/YLR186W/YLR222C/YML093W/YMR229C/YOL077C/YOR004W/YOR310C/YPL217C/YPR112C/YPR137W/YPR144C",21,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_rRNA 5'-end processing"
"BP","GO:0006418","tRNA aminoacylation for protein translation",0.0143835616438356,0.00605745932848737,1.32473178979496e-05,0.000372731353583219,0.000337204455584172,"YBL076C/YDR023W/YDR037W/YDR341C/YFL022C/YGL105W/YGL245W/YGR094W/YGR185C/YGR264C/YHR019C/YHR020W/YIL078W/YLL018C/YLR060W/YNL247W/YOL097C/YOR168W/YPL160W/YPR033C/YPR047W",21,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_tRNA aminoacylation for protein translation"
"MF","GO:0004812","aminoacyl-tRNA ligase activity",0.0138026224982747,0.0060911938739993,5.54516133905173e-05,0.00130865807601621,0.00116156537523294,"YBL076C/YDR023W/YDR037W/YDR341C/YFL022C/YGL245W/YGR094W/YGR185C/YGR264C/YHR019C/YHR020W/YIL078W/YLL018C/YLR060W/YNL247W/YOL097C/YOR168W/YPL160W/YPR033C/YPR047W",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_aminoacyl-tRNA ligase activity"
"MF","GO:0016875","ligase activity, forming carbon-oxygen bonds",0.0138026224982747,0.0060911938739993,5.54516133905173e-05,0.00130865807601621,0.00116156537523294,"YBL076C/YDR023W/YDR037W/YDR341C/YFL022C/YGL245W/YGR094W/YGR185C/YGR264C/YHR019C/YHR020W/YIL078W/YLL018C/YLR060W/YNL247W/YOL097C/YOR168W/YPL160W/YPR033C/YPR047W",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","MF_ligase activity, forming carbon-oxygen bonds"
"BP","GO:0030148","sphingolipid biosynthetic process",0.0136986301369863,0.00709588092765663,0.000949485328056279,0.0156034889752258,0.0141162420454385,"YBR058C-A/YBR159W/YBR183W/YBR265W/YCL005W/YCR034W/YDR062W/YDR072C/YDR297W/YER019W/YHL003C/YHR205W/YJL097W/YJL187C/YJL196C/YKL004W/YKL008C/YLR372W/YMR296C/YNL183C",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_sphingolipid biosynthetic process"
"BP","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0136986301369863,0.00588438906195916,3.20917241618975e-05,0.000816360709159503,0.000738549268383395,"YBL004W/YCR057C/YDL148C/YDR339C/YER082C/YGL171W/YJL010C/YJL109C/YJR002W/YLR129W/YLR186W/YLR222C/YML093W/YMR229C/YOR004W/YOR310C/YPL217C/YPR112C/YPR137W/YPR144C",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"BP","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0136986301369863,0.00571131879543095,1.72980616892159e-05,0.000472389714071675,0.000427363877027687,"YBL004W/YCR057C/YDL148C/YDR339C/YER082C/YGL171W/YJL010C/YJL109C/YJR002W/YLR129W/YLR186W/YLR222C/YML093W/YMR229C/YOR004W/YOR310C/YPL217C/YPR112C/YPR137W/YPR144C",20,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"CC","GO:0005844","polysome",0.0130226182316655,0.00571428571428571,7.60892074956592e-05,0.000876253131482269,0.000757016563539156,"YCL037C/YCR059C/YDL229W/YDR152W/YDR252W/YGR078C/YGR285C/YHR064C/YJL080C/YLL024C/YLR150W/YMR125W/YNL209W/YNL255C/YOR046C/YOR198C/YPL037C/YPL106C/YPL226W",19,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","CC_polysome"
"BP","GO:0009126","purine nucleoside monophosphate metabolic process",0.0123287671232877,0.00432675666320526,1.18343879477756e-06,3.92436757482489e-05,3.55031638433269e-05,"YAR015W/YDR226W/YDR399W/YDR408C/YDR454C/YGL234W/YGR061C/YHR216W/YJR105W/YLR359W/YLR432W/YML022W/YML056C/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W",18,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_purine nucleoside monophosphate metabolic process"
"BP","GO:0009167","purine ribonucleoside monophosphate metabolic process",0.0123287671232877,0.00432675666320526,1.18343879477756e-06,3.92436757482489e-05,3.55031638433269e-05,"YAR015W/YDR226W/YDR399W/YDR408C/YDR454C/YGL234W/YGR061C/YHR216W/YJR105W/YLR359W/YLR432W/YML022W/YML056C/YMR120C/YMR217W/YMR300C/YNL141W/YNL220W",18,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_purine ribonucleoside monophosphate metabolic process"
"BP","GO:0006407","rRNA export from nucleus",0.0123287671232877,0.00311526479750779,1.62994424414952e-11,1.13053534209981e-09,1.02277833857172e-09,"YDR450W/YML026C/YER131W/YGL097W/YGL123W/YGL189C/YGR214W/YJR123W/YLR048W/YLR264W/YMR230W/YMR235C/YNL178W/YNL302C/YOL040C/YOL121C/YOR167C/YOR293W",18,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_rRNA export from nucleus"
"BP","GO:0051029","rRNA transport",0.0123287671232877,0.00311526479750779,1.62994424414952e-11,1.13053534209981e-09,1.02277833857172e-09,"YDR450W/YML026C/YER131W/YGL097W/YGL123W/YGL189C/YGR214W/YJR123W/YLR048W/YLR264W/YMR230W/YMR235C/YNL178W/YNL302C/YOL040C/YOL121C/YOR167C/YOR293W",18,"raw_B1_WT_vs_B1_ATG_and_corrected_B1_WT_vs_B1_ATG","Down","BP_rRNA transport"
